GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G1200070","2007-2011","FL",,,"Florida","12","Bradford County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12007",,,"Bradford County, Florida",41397,2154,93,138,240,138,193,246,221,82,343,460,"Bradford County, Florida",3772,316,88,121,107,103,97,142,135,59,133,181
"G1200090","2007-2011","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12009",,,"Brevard County, Florida",50068,54176,895,2713,5698,6718,5913,5423,3797,5679,12941,4399,"Brevard County, Florida",773,1686,242,446,589,556,547,572,498,580,979,447
"G1200110","2007-2011","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12011",,,"Broward County, Florida",51782,211618,3411,9198,17827,22764,21659,19716,15149,23871,64867,13156,"Broward County, Florida",400,3120,451,870,1063,1167,1271,1045,953,1149,2094,910
"G1200130","2007-2011","FL",,,"Florida","12","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12013",,,"Calhoun County, Florida",31142,1249,81,154,47,88,71,122,89,43,342,212,"Calhoun County, Florida",2504,249,71,96,39,82,55,66,71,46,137,116
"G1200150","2007-2011","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12015",,,"Charlotte County, Florida",45112,13996,437,585,1639,1774,1453,1344,960,1472,3403,929,"Charlotte County, Florida",1307,819,180,198,334,426,328,318,217,325,401,221
"G1200170","2007-2011","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12017",,,"Citrus County, Florida",38189,9979,151,771,861,1031,717,640,679,938,2701,1490,"Citrus County, Florida",1523,757,88,255,235,216,203,187,202,266,424,284
"G1200190","2007-2011","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12019",,,"Clay County, Florida",59994,15185,275,944,2180,1859,2134,1368,698,1376,3195,1156,"Clay County, Florida",1440,896,138,237,379,337,400,297,260,311,463,270
"G1200210","2007-2011","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12021",,,"Collier County, Florida",56876,28606,643,1846,2619,2970,2449,2813,1932,3270,7371,2693,"Collier County, Florida",1338,1099,161,356,353,443,317,361,295,502,690,372
"G1200230","2007-2011","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12023",,,"Columbia County, Florida",38589,7222,255,545,767,980,768,548,276,636,1674,773,"Columbia County, Florida",1942,628,128,185,214,223,259,157,123,194,337,233
"G1200270","2007-2011","FL",,,"Florida","12","DeSoto County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12027",,,"DeSoto County, Florida",36407,2550,112,305,170,346,228,200,119,149,552,369,"DeSoto County, Florida",2172,346,94,163,98,187,131,114,96,88,170,132
"G1200290","2007-2011","FL",,,"Florida","12","Dixie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12029",,,"Dixie County, Florida",34243,1044,78,144,34,77,39,56,77,47,91,401,"Dixie County, Florida",2757,245,61,86,40,66,38,41,55,42,55,153
