GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G1901730","2015-2019","IA",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19173",,,"Taylor County, Iowa",50431,569,83,51,96,46,106,21,30,22,37,77,"Taylor County, Iowa",2804,74,37,21,30,20,41,12,21,18,18,26
"G1901750","2015-2019","IA",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19175",,,"Union County, Iowa",49900,1532,88,207,138,236,230,120,107,64,234,108,"Union County, Iowa",3595,168,54,66,70,99,101,70,59,30,83,52
"G1901770","2015-2019","IA",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19177",,,"Van Buren County, Iowa",48591,541,19,92,71,60,69,45,30,29,63,63,"Van Buren County, Iowa",2302,98,10,45,33,25,32,24,19,21,29,28
"G1901790","2015-2019","IA",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19179",,,"Wapello County, Iowa",46246,4124,153,384,439,571,369,419,182,282,912,413,"Wapello County, Iowa",2274,313,77,110,137,171,125,145,80,116,193,149
"G1901810","2015-2019","IA",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19181",,,"Warren County, Iowa",77048,4043,124,460,529,498,402,327,144,333,911,315,"Warren County, Iowa",2732,325,67,186,156,154,130,110,78,88,203,111
"G1901830","2015-2019","IA",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19183",,,"Washington County, Iowa",62556,2565,112,292,362,515,231,200,135,166,321,231,"Washington County, Iowa",2417,245,52,99,126,147,87,66,58,63,105,80
"G1901850","2015-2019","IA",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19185",,,"Wayne County, Iowa",44768,508,27,70,74,77,31,24,19,16,65,105,"Wayne County, Iowa",3563,74,19,25,38,33,16,19,16,15,26,43
"G1901870","2015-2019","IA",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19187",,,"Webster County, Iowa",47466,4898,334,482,597,828,461,310,143,345,980,418,"Webster County, Iowa",3472,366,106,167,140,200,124,126,52,118,193,136
"G1901890","2015-2019","IA",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19189",,,"Winnebago County, Iowa",49870,1097,96,157,170,96,117,75,107,69,126,84,"Winnebago County, Iowa",2530,171,45,61,69,54,44,45,67,46,58,49
"G1901910","2015-2019","IA",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19191",,,"Winneshiek County, Iowa",65263,1706,131,215,217,112,147,46,81,190,376,191,"Winneshiek County, Iowa",1819,176,49,63,86,47,58,29,55,63,119,58
"G1901930","2015-2019","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19193",,,"Woodbury County, Iowa",59224,13092,752,1943,1474,1419,1475,1179,610,864,2285,1091,"Woodbury County, Iowa",1638,662,177,334,261,231,273,260,166,226,363,255
