GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AF49E001,AF9FE001,AF9FE002,AF9FE003,AF9FE004,AF9FE005,AF9FE006,AF9FE007,AF9FE008,AF9FE009,AF9FE010,AF9FE011,NAME_M,AF49M001,AF9FM001,AF9FM002,AF9FM003,AF9FM004,AF9FM005,AF9FM006,AF9FM007,AF9FM008,AF9FM009,AF9FM010,AF9FM011
"G3600290","2012-2016","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36029",,,"Erie County, New York",52744,133007,7036,13471,15250,14325,12763,9884,7137,10219,34087,8835,"Erie County, New York",482,1651,678,906,1021,837,794,744,557,693,1135,628
"G3600310","2012-2016","NY",,,"New York","36","Essex County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36031",,,"Essex County, New York",53244,3982,233,280,497,518,373,203,249,295,865,469,"Essex County, New York",2206,381,113,108,137,159,104,84,118,108,192,138
"G3600330","2012-2016","NY",,,"New York","36","Franklin County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36033",,,"Franklin County, New York",49782,5343,271,477,751,448,588,338,327,452,1049,642,"Franklin County, New York",1942,351,113,149,159,121,124,107,107,128,214,122
"G3600350","2012-2016","NY",,,"New York","36","Fulton County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36035",,,"Fulton County, New York",46090,6642,255,547,701,501,639,529,525,656,1536,753,"Fulton County, New York",1878,365,124,150,173,129,145,157,154,172,250,174
"G3600370","2012-2016","NY",,,"New York","36","Genesee County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36037",,,"Genesee County, New York",52641,6369,179,577,792,856,768,543,215,457,1433,549,"Genesee County, New York",1500,296,80,147,152,200,178,131,75,131,197,118
"G3600390","2012-2016","NY",,,"New York","36","Greene County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36039",,,"Greene County, New York",51013,4230,141,291,204,355,440,453,201,484,1263,398,"Greene County, New York",2192,328,91,130,86,121,153,167,78,153,246,103
"G3600410","2012-2016","NY",,,"New York","36","Hamilton County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36041",,,"Hamilton County, New York",52708,184,15,19,35,17,6,5,1,2,52,32,"Hamilton County, New York",6173,44,11,11,23,11,8,4,3,3,24,14
"G3600430","2012-2016","NY",,,"New York","36","Herkimer County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36043",,,"Herkimer County, New York",48893,7604,465,834,977,962,755,577,403,529,1238,864,"Herkimer County, New York",1554,360,150,206,195,162,170,143,153,163,242,186
"G3600450","2012-2016","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36045",,,"Jefferson County, New York",49911,19095,365,1372,2172,2451,2664,1790,889,1376,3576,2440,"Jefferson County, New York",1403,661,98,248,333,352,360,293,196,261,390,285
"G3600470","2012-2016","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36047",,,"Kings County, New York",50640,662356,26725,48116,65528,72103,68805,58549,39089,53833,193013,36595,"Kings County, New York",322,2845,1139,1287,1543,1643,1735,1720,1331,1363,2353,1402
"G3600490","2012-2016","NY",,,"New York","36","Lewis County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36049",,,"Lewis County, New York",49976,2458,136,197,221,236,234,188,149,180,601,316,"Lewis County, New York",2172,218,71,84,71,72,71,66,65,69,131,75
"G3600510","2012-2016","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36051",,,"Livingston County, New York",52724,6472,210,604,661,589,803,263,437,684,1691,530,"Livingston County, New York",1944,459,113,177,182,163,244,79,161,250,233,158
"G3600530","2012-2016","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36053",,,"Madison County, New York",55858,6418,329,554,911,825,618,588,335,342,1219,697,"Madison County, New York",1615,383,132,198,205,181,168,164,121,123,200,159
"G3600550","2012-2016","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36055",,,"Monroe County, New York",53568,108582,2991,7590,11952,12031,11792,9675,6670,9692,30913,5276,"Monroe County, New York",591,1371,360,536,691,748,667,717,479,706,947,509
"G3600570","2012-2016","NY",,,"New York","36","Montgomery County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36057",,,"Montgomery County, New York",44455,6500,260,643,596,646,619,583,370,382,1740,661,"Montgomery County, New York",2039,339,108,180,117,144,138,123,97,113,212,115
"G3600590","2012-2016","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36059",,,"Nassau County, New York",102044,86810,2788,5766,8468,9391,8343,8059,5349,7517,25321,5808,"Nassau County, New York",830,1852,354,544,725,688,610,630,511,692,1155,474
"G3600610","2012-2016","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36061",,,"New York County, New York",75513,579024,48437,54230,65283,67474,60232,52690,32656,44087,128626,25309,"New York County, New York",1030,3763,1808,2149,2692,2573,2218,2235,1509,1990,2936,1486
"G3600630","2012-2016","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36063",,,"Niagara County, New York",50094,25329,926,2585,2908,2648,2937,2023,1520,2088,6042,1652,"Niagara County, New York",1411,850,184,332,343,287,339,286,241,308,491,245
"G3600650","2012-2016","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36065",,,"Oneida County, New York",49838,30177,1610,3108,3248,2887,3024,2591,1603,2289,7316,2501,"Oneida County, New York",1220,753,253,397,309,330,349,291,225,290,507,308
