GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QU1E001,QZZE001,QZZE002,QZZE003,QZZE004,QZZE005,QZZE006,QZZE007,QZZE008,QZZE009,QZZE010,QZZE011,NAME_M,QU1M001,QZZM001,QZZM002,QZZM003,QZZM004,QZZM005,QZZM006,QZZM007,QZZM008,QZZM009,QZZM010,QZZM011
"G1900530","2008-2012","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053",,,"Decatur County, Iowa",34942,993,44,109,84,106,66,36,44,79,271,154,"Decatur County, Iowa",3962,111,31,53,43,49,34,22,26,38,83,68
"G1900550","2008-2012","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055",,,"Delaware County, Iowa",51663,1498,187,213,220,88,217,98,77,38,196,164,"Delaware County, Iowa",2605,192,96,77,96,46,85,52,48,29,91,60
"G1900570","2008-2012","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057",,,"Des Moines County, Iowa",43427,4428,194,288,507,740,506,310,128,308,1034,413,"Des Moines County, Iowa",1859,353,97,109,135,171,157,92,86,149,209,119
"G1900590","2008-2012","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059",,,"Dickinson County, Iowa",53426,1845,112,231,298,178,107,66,108,172,365,208,"Dickinson County, Iowa",1902,281,53,105,126,77,72,40,70,109,151,94
"G1900610","2008-2012","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061",,,"Dubuque County, Iowa",50885,9916,399,972,1402,1273,906,806,574,636,2506,442,"Dubuque County, Iowa",1348,487,124,171,254,259,173,144,145,148,286,112
"G1900630","2008-2012","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063",,,"Emmet County, Iowa",46547,904,59,149,25,91,53,86,59,50,193,139,"Emmet County, Iowa",3246,153,30,62,27,62,37,48,47,29,94,65
"G1900650","2008-2012","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065",,,"Fayette County, Iowa",42995,1934,188,238,245,211,149,148,100,122,326,207,"Fayette County, Iowa",1893,216,87,86,108,77,55,72,54,45,86,70
"G1900670","2008-2012","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067",,,"Floyd County, Iowa",42386,1761,82,200,248,105,251,86,65,204,301,219,"Floyd County, Iowa",2673,197,49,84,101,60,94,52,43,86,89,79
"G1900690","2008-2012","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069",,,"Franklin County, Iowa",49144,1109,97,197,119,183,74,29,33,81,199,97,"Franklin County, Iowa",2341,200,50,89,74,97,52,26,34,49,111,42
"G1900710","2008-2012","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071",,,"Fremont County, Iowa",49245,675,28,55,92,78,99,70,58,31,60,104,"Fremont County, Iowa",4022,85,15,26,32,29,34,39,31,14,25,32
"G1900730","2008-2012","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073",,,"Greene County, Iowa",45816,1008,115,96,153,112,49,71,23,30,214,145,"Greene County, Iowa",3109,132,51,48,65,66,28,42,21,27,77,43
"G1900750","2008-2012","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075",,,"Grundy County, Iowa",56264,935,49,134,166,84,176,36,31,40,88,131,"Grundy County, Iowa",3634,114,26,45,55,40,73,23,22,23,36,46
"G1900770","2008-2012","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077",,,"Guthrie County, Iowa",49114,955,62,86,89,80,53,59,29,46,148,303,"Guthrie County, Iowa",2205,120,45,40,34,36,28,33,16,27,42,99
"G1900790","2008-2012","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079",,,"Hamilton County, Iowa",45691,1688,79,210,106,275,163,232,81,86,282,174,"Hamilton County, Iowa",4475,228,46,77,48,132,82,119,61,50,96,56
"G1900810","2008-2012","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081",,,"Hancock County, Iowa",48695,965,117,114,122,120,36,47,36,36,165,172,"Hancock County, Iowa",2194,146,55,44,59,85,23,31,26,22,63,58
"G1900830","2008-2012","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083",,,"Hardin County, Iowa",47902,1806,90,264,326,202,144,182,43,113,207,235,"Hardin County, Iowa",1853,191,46,85,93,84,55,78,35,82,75,65
"G1900850","2008-2012","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085",,,"Harrison County, Iowa",53939,1371,93,132,94,193,146,137,56,71,270,179,"Harrison County, Iowa",3050,122,45,56,41,74,53,69,35,35,78,55
"G1900870","2008-2012","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087",,,"Henry County, Iowa",43843,2072,58,192,224,349,125,214,81,173,455,201,"Henry County, Iowa",2662,196,39,84,82,114,59,81,39,90,133,70
"G1900890","2008-2012","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089",,,"Howard County, Iowa",45300,769,83,73,57,54,73,37,38,92,176,86,"Howard County, Iowa",3421,106,46,40,40,31,40,30,29,54,68,33
"G1900910","2008-2012","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091",,,"Humboldt County, Iowa",48710,1111,127,88,237,82,63,122,49,34,152,157,"Humboldt County, Iowa",3357,155,59,37,90,36,37,56,31,23,65,49
"G1900930","2008-2012","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093",,,"Ida County, Iowa",43690,809,104,100,129,84,78,23,18,32,56,185,"Ida County, Iowa",2173,100,51,36,47,42,31,25,11,22,35,63
"G1900950","2008-2012","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095",,,"Iowa County, Iowa",57318,1382,158,194,244,83,39,121,53,129,166,195,"Iowa County, Iowa",3791,169,75,74,65,48,26,51,47,57,74,71
"G1900970","2008-2012","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097",,,"Jackson County, Iowa",44854,1958,171,233,116,273,169,138,84,194,356,224,"Jackson County, Iowa",3157,217,95,77,55,90,71,78,49,78,132,78
"G1900990","2008-2012","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099",,,"Jasper County, Iowa",48746,4329,213,651,513,512,244,252,231,415,1015,283,"Jasper County, Iowa",2187,327,98,208,165,177,109,79,103,146,230,78
"G1901010","2008-2012","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101",,,"Jefferson County, Iowa",48411,1833,227,115,126,276,107,140,119,230,328,165,"Jefferson County, Iowa",4270,252,109,81,52,110,54,71,68,100,144,73
"G1901030","2008-2012","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103",,,"Johnson County, Iowa",53993,20914,641,1650,2203,2306,1778,1508,979,1642,7057,1150,"Johnson County, Iowa",1697,614,155,255,301,290,281,244,227,302,450,240
"G1901050","2008-2012","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105",,,"Jones County, Iowa",53562,1469,147,199,135,125,165,108,72,97,207,214,"Jones County, Iowa",2701,188,84,75,63,58,66,60,50,46,73,68
"G1901070","2008-2012","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107",,,"Keokuk County, Iowa",42688,817,21,86,142,102,71,51,22,35,117,170,"Keokuk County, Iowa",2507,101,16,36,62,49,34,28,17,26,45,51
"G1901090","2008-2012","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109",,,"Kossuth County, Iowa",49431,1306,162,159,176,77,130,133,64,31,133,241,"Kossuth County, Iowa",2201,141,65,58,65,37,60,75,39,24,55,68
"G1901110","2008-2012","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111",,,"Lee County, Iowa",41954,3829,138,468,498,531,428,324,139,212,762,329,"Lee County, Iowa",1874,283,77,141,145,160,116,114,62,91,169,104
"G1901130","2008-2012","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113",,,"Linn County, Iowa",56790,23062,1086,2744,3242,2833,2742,2119,1322,1407,4246,1321,"Linn County, Iowa",1356,814,231,364,443,341,296,401,261,255,383,262
"G1901150","2008-2012","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115",,,"Louisa County, Iowa",49905,892,97,187,80,61,22,63,49,92,121,120,"Louisa County, Iowa",4442,113,50,73,33,32,16,32,27,44,44,49
"G1901170","2008-2012","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117",,,"Lucas County, Iowa",44020,871,64,54,92,66,48,79,85,69,103,211,"Lucas County, Iowa",4364,129,55,36,54,39,37,56,60,50,55,84
"G1901190","2008-2012","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119",,,"Lyon County, Iowa",49727,832,49,72,110,107,90,22,13,21,90,258,"Lyon County, Iowa",1831,132,27,37,48,45,41,13,11,16,39,91
"G1901210","2008-2012","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121",,,"Madison County, Iowa",56765,1356,66,188,272,122,113,102,48,136,108,201,"Madison County, Iowa",3521,174,46,62,121,52,65,62,41,89,60,87
"G1901230","2008-2012","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123",,,"Mahaska County, Iowa",47758,2443,146,238,285,288,164,218,177,134,535,258,"Mahaska County, Iowa",2428,224,65,97,102,93,74,88,87,55,148,85
"G1901250","2008-2012","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125",,,"Marion County, Iowa",53684,2933,167,268,525,462,261,188,78,215,532,237,"Marion County, Iowa",2400,304,92,81,184,145,87,94,41,77,155,85
"G1901270","2008-2012","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127",,,"Marshall County, Iowa",49259,3954,250,493,519,422,279,329,279,282,752,349,"Marshall County, Iowa",1323,299,80,125,141,129,103,114,121,112,166,90
"G1901290","2008-2012","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129",,,"Mills County, Iowa",62908,882,7,76,118,156,81,58,32,76,117,161,"Mills County, Iowa",3454,152,12,40,54,64,44,35,30,54,64,72
"G1901310","2008-2012","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131",,,"Mitchell County, Iowa",50574,780,98,61,87,103,49,25,73,24,118,142,"Mitchell County, Iowa",3289,139,42,46,44,52,34,19,38,20,59,51
"G1901330","2008-2012","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133",,,"Monona County, Iowa",42832,1159,89,92,82,141,154,90,40,52,143,276,"Monona County, Iowa",3172,161,46,46,39,60,62,63,25,30,60,80
"G1901350","2008-2012","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135",,,"Monroe County, Iowa",45266,712,32,74,108,129,33,93,42,30,95,76,"Monroe County, Iowa",4616,165,33,50,62,74,25,65,42,39,58,46
"G1901370","2008-2012","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137",,,"Montgomery County, Iowa",40530,1191,99,87,154,69,102,38,35,122,264,221,"Montgomery County, Iowa",3075,162,55,46,62,39,49,37,27,63,99,82
"G1901390","2008-2012","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139",,,"Muscatine County, Iowa",51675,4103,67,482,655,443,386,398,177,464,763,268,"Muscatine County, Iowa",1931,317,44,151,181,123,134,121,71,143,187,96
"G1901410","2008-2012","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141",,,"O'Brien County, Iowa",45194,1465,80,211,229,138,148,69,33,147,289,121,"O'Brien County, Iowa",3369,182,43,106,87,59,87,42,30,78,93,48
"G1901430","2008-2012","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143",,,"Osceola County, Iowa",45951,645,29,99,52,67,64,33,73,31,59,138,"Osceola County, Iowa",4724,101,21,45,30,41,37,35,56,25,30,53
"G1901450","2008-2012","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145",,,"Page County, Iowa",41803,1680,99,180,220,171,222,65,59,118,266,280,"Page County, Iowa",2320,197,59,66,75,86,72,48,45,45,76,98
"G1901470","2008-2012","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147",,,"Palo Alto County, Iowa",40500,1026,112,108,160,106,99,60,18,73,187,103,"Palo Alto County, Iowa",4022,133,52,52,79,35,61,38,19,44,73,33
"G1901490","2008-2012","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149",,,"Plymouth County, Iowa",58916,2131,164,366,313,212,173,159,78,116,289,261,"Plymouth County, Iowa",2270,226,64,98,107,74,65,80,52,59,101,77
"G1901510","2008-2012","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151",,,"Pocahontas County, Iowa",42138,689,76,84,96,63,37,38,4,18,118,155,"Pocahontas County, Iowa",2660,95,42,37,44,24,22,28,6,14,45,40
"G1901530","2008-2012","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153",,,"Polk County, Iowa",58096,51803,1880,4765,7395,6544,6202,4061,2563,4383,11649,2361,"Polk County, Iowa",1019,1232,326,547,621,522,550,516,365,486,779,305
