GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QU1E001,QZZE001,QZZE002,QZZE003,QZZE004,QZZE005,QZZE006,QZZE007,QZZE008,QZZE009,QZZE010,QZZE011,NAME_M,QU1M001,QZZM001,QZZM002,QZZM003,QZZM004,QZZM005,QZZM006,QZZM007,QZZM008,QZZM009,QZZM010,QZZM011
"G2601250","2008-2012","MI",,,"Michigan","26","Oakland County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26125",,,"Oakland County, Michigan",65637,133139,4638,11391,18047,15858,14611,11804,7654,11450,30531,7155,"Oakland County, Michigan",715,1875,413,695,886,1007,817,844,574,778,957,626
"G2601270","2008-2012","MI",,,"Michigan","26","Oceana County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26127",,,"Oceana County, Michigan",39667,1621,32,43,137,176,147,202,157,179,279,269,"Oceana County, Michigan",1842,192,17,20,40,46,42,72,53,55,67,61
"G2601290","2008-2012","MI",,,"Michigan","26","Ogemaw County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26129",,,"Ogemaw County, Michigan",35320,1432,18,95,85,76,161,135,176,142,379,165,"Ogemaw County, Michigan",1698,160,14,33,30,31,57,40,67,57,81,58
"G2601310","2008-2012","MI",,,"Michigan","26","Ontonagon County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26131",,,"Ontonagon County, Michigan",33769,472,39,19,48,17,64,52,14,27,88,104,"Ontonagon County, Michigan",2012,78,25,15,23,12,30,26,14,15,37,45
"G2601330","2008-2012","MI",,,"Michigan","26","Osceola County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26133",,,"Osceola County, Michigan",37825,1897,72,149,138,195,217,203,75,135,397,316,"Osceola County, Michigan",1344,135,31,45,46,56,62,73,30,45,81,62
"G2601350","2008-2012","MI",,,"Michigan","26","Oscoda County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26135",,,"Oscoda County, Michigan",33942,580,2,47,30,23,73,29,83,75,131,87,"Oscoda County, Michigan",2296,112,3,29,24,13,29,20,45,39,52,34
"G2601370","2008-2012","MI",,,"Michigan","26","Otsego County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26137",,,"Otsego County, Michigan",47140,1855,56,225,169,155,249,228,120,117,397,139,"Otsego County, Michigan",2155,274,47,115,71,78,101,129,65,62,121,51
"G2601390","2008-2012","MI",,,"Michigan","26","Ottawa County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26139",,,"Ottawa County, Michigan",55760,19890,556,1857,2713,2002,2028,1417,1305,1553,5284,1175,"Ottawa County, Michigan",1019,828,161,276,374,264,322,298,308,305,496,240
"G2601410","2008-2012","MI",,,"Michigan","26","Presque Isle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26141",,,"Presque Isle County, Michigan",39109,680,67,50,38,107,46,46,21,40,140,125,"Presque Isle County, Michigan",1334,98,51,28,26,48,23,29,18,25,54,38
"G2601430","2008-2012","MI",,,"Michigan","26","Roscommon County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26143",,,"Roscommon County, Michigan",34765,1921,23,53,101,149,168,328,105,267,531,196,"Roscommon County, Michigan",1861,255,24,33,72,70,64,102,63,106,112,63
"G2601450","2008-2012","MI",,,"Michigan","26","Saginaw County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26145",,,"Saginaw County, Michigan",42828,20732,680,1746,1806,1781,2254,1427,1081,1793,6434,1730,"Saginaw County, Michigan",720,630,176,307,269,294,331,273,215,299,506,247
"G2601470","2008-2012","MI",,,"Michigan","26","St. Clair County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26147",,,"St. Clair County, Michigan",47877,14323,321,976,1735,1462,1544,1333,767,1187,3900,1098,"St. Clair County, Michigan",1066,605,98,211,264,229,243,209,141,227,375,208
"G2601490","2008-2012","MI",,,"Michigan","26","St. Joseph County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26149",,,"St. Joseph County, Michigan",44214,4992,157,426,544,580,547,558,315,290,1095,480,"St. Joseph County, Michigan",1047,301,55,125,135,100,106,123,87,91,175,109
"G2601510","2008-2012","MI",,,"Michigan","26","Sanilac County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26151",,,"Sanilac County, Michigan",40019,3004,108,168,361,305,277,307,223,246,520,489,"Sanilac County, Michigan",1299,238,41,41,79,79,57,88,74,74,77,105
"G2601530","2008-2012","MI",,,"Michigan","26","Schoolcraft County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26153",,,"Schoolcraft County, Michigan",37468,526,8,55,59,41,53,36,14,52,150,58,"Schoolcraft County, Michigan",2915,114,7,42,54,27,40,22,17,37,75,27
"G2601550","2008-2012","MI",,,"Michigan","26","Shiawassee County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26155",,,"Shiawassee County, Michigan",47106,5969,248,361,585,554,804,406,419,487,1534,571,"Shiawassee County, Michigan",1681,357,115,116,120,113,168,95,116,146,221,147
"G2601570","2008-2012","MI",,,"Michigan","26","Tuscola County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26157",,,"Tuscola County, Michigan",43463,3849,148,218,303,427,421,287,231,392,812,610,"Tuscola County, Michigan",1038,300,66,74,88,93,97,88,75,111,132,113
"G2601590","2008-2012","MI",,,"Michigan","26","Van Buren County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26159",,,"Van Buren County, Michigan",44425,6066,188,252,533,618,685,477,266,579,1533,935,"Van Buren County, Michigan",1392,349,86,76,108,154,136,131,93,178,222,176
"G2601610","2008-2012","MI",,,"Michigan","26","Washtenaw County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26161",,,"Washtenaw County, Michigan",59063,51945,1571,3707,5987,5600,4781,4438,3081,4526,15405,2849,"Washtenaw County, Michigan",958,1162,283,405,561,488,441,472,377,502,892,336
"G2601630","2008-2012","MI",,,"Michigan","26","Wayne County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26163",,,"Wayne County, Michigan",41504,232520,6620,13715,19739,20854,21846,17711,12820,19081,77779,22355,"Wayne County, Michigan",348,2532,603,851,961,1006,964,707,682,935,1649,971
"G2601650","2008-2012","MI",,,"Michigan","26","Wexford County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US26165",,,"Wexford County, Michigan",40660,2823,25,193,295,267,402,298,147,223,714,259,"Wexford County, Michigan",1791,267,19,76,88,121,129,120,75,86,157,99
"G2700010","2008-2012","MN",,,"Minnesota","27","Aitkin County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27001",,,"Aitkin County, Minnesota",41191,1350,59,38,183,146,152,105,66,93,200,308,"Aitkin County, Minnesota",1551,136,30,25,74,70,45,51,28,35,48,63
"G2700030","2008-2012","MN",,,"Minnesota","27","Anoka County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27003",,,"Anoka County, Minnesota",69916,22041,404,1556,2563,2956,2969,1789,1762,1745,5460,837,"Anoka County, Minnesota",1037,746,119,260,306,376,356,300,306,246,471,187
"G2700050","2008-2012","MN",,,"Minnesota","27","Becker County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27005",,,"Becker County, Minnesota",49159,2727,81,232,259,342,320,192,185,288,507,321,"Becker County, Minnesota",1539,219,40,72,110,109,74,75,78,86,103,56
"G2700070","2008-2012","MN",,,"Minnesota","27","Beltrami County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27007",,,"Beltrami County, Minnesota",44038,4876,153,388,527,437,884,377,264,276,1168,402,"Beltrami County, Minnesota",2231,397,83,126,155,149,237,94,114,122,229,85
"G2700090","2008-2012","MN",,,"Minnesota","27","Benton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27009",,,"Benton County, Minnesota",51365,4466,102,281,463,614,496,397,169,468,1210,266,"Benton County, Minnesota",2397,239,85,123,131,179,140,142,91,203,194,90
"G2700110","2008-2012","MN",,,"Minnesota","27","Big Stone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27011",,,"Big Stone County, Minnesota",45545,470,40,39,71,22,30,19,40,26,111,72,"Big Stone County, Minnesota",2409,62,22,13,34,19,19,16,31,18,43,22
"G2700130","2008-2012","MN",,,"Minnesota","27","Blue Earth County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27013",,,"Blue Earth County, Minnesota",49306,8114,249,568,580,1003,900,695,486,790,2311,532,"Blue Earth County, Minnesota",1739,393,91,137,152,200,185,190,150,171,280,123
"G2700150","2008-2012","MN",,,"Minnesota","27","Brown County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27015",,,"Brown County, Minnesota",47915,2322,128,165,239,369,269,169,83,153,511,236,"Brown County, Minnesota",2094,205,64,69,75,107,103,64,42,62,119,82
"G2700170","2008-2012","MN",,,"Minnesota","27","Carlton County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27017",,,"Carlton County, Minnesota",52943,2958,184,272,329,239,318,338,152,161,703,262,"Carlton County, Minnesota",2447,249,101,112,110,63,98,105,74,61,125,58
"G2700190","2008-2012","MN",,,"Minnesota","27","Carver County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27019",,,"Carver County, Minnesota",83275,6093,226,388,852,781,589,699,550,471,1226,311,"Carver County, Minnesota",2096,434,138,124,179,201,169,188,158,170,258,119
"G2700210","2008-2012","MN",,,"Minnesota","27","Cass County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27021",,,"Cass County, Minnesota",43992,2379,135,193,223,184,298,236,85,241,435,349,"Cass County, Minnesota",1303,295,34,51,65,65,97,72,25,88,94,75
"G2700230","2008-2012","MN",,,"Minnesota","27","Chippewa County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27023",,,"Chippewa County, Minnesota",46579,1426,13,176,159,176,124,90,28,93,363,204,"Chippewa County, Minnesota",3203,165,13,75,54,54,57,41,19,41,113,73
"G2700250","2008-2012","MN",,,"Minnesota","27","Chisago County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27025",,,"Chisago County, Minnesota",66592,2921,121,198,334,232,323,325,295,170,730,193,"Chisago County, Minnesota",2058,316,80,93,139,84,114,140,117,82,200,63
"G2700270","2008-2012","MN",,,"Minnesota","27","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27027",,,"Clay County, Minnesota",52136,6740,191,546,527,817,728,412,460,758,1877,424,"Clay County, Minnesota",2217,417,81,179,157,178,163,103,122,195,237,152
"G2700290","2008-2012","MN",,,"Minnesota","27","Clearwater County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27029",,,"Clearwater County, Minnesota",41896,815,45,89,87,63,74,96,34,33,153,141,"Clearwater County, Minnesota",2176,100,23,32,49,27,31,35,26,20,42,36
"G2700310","2008-2012","MN",,,"Minnesota","27","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27031",,,"Cook County, Minnesota",50309,741,29,112,105,72,69,47,27,23,84,173,"Cook County, Minnesota",4190,161,21,58,58,47,33,32,26,27,49,60
"G2700330","2008-2012","MN",,,"Minnesota","27","Cottonwood County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27033",,,"Cottonwood County, Minnesota",43225,929,37,68,148,50,197,77,31,54,145,122,"Cottonwood County, Minnesota",3158,137,20,27,75,25,99,46,24,37,45,40
"G2700350","2008-2012","MN",,,"Minnesota","27","Crow Wing County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27035",,,"Crow Wing County, Minnesota",46822,6729,243,384,772,1039,767,578,288,555,1540,563,"Crow Wing County, Minnesota",1012,386,113,105,174,235,191,154,79,172,263,120
"G2700370","2008-2012","MN",,,"Minnesota","27","Dakota County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27037",,,"Dakota County, Minnesota",73288,35398,941,2634,4519,5099,4847,3142,2443,3235,7227,1311,"Dakota County, Minnesota",1066,847,234,342,468,473,474,343,398,403,586,220
"G2700390","2008-2012","MN",,,"Minnesota","27","Dodge County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27039",,,"Dodge County, Minnesota",66959,1014,66,72,118,104,115,60,33,87,226,133,"Dodge County, Minnesota",2199,123,42,41,43,39,50,32,30,49,62,42
"G2700410","2008-2012","MN",,,"Minnesota","27","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27041",,,"Douglas County, Minnesota",50365,3948,153,394,438,622,307,380,183,293,892,286,"Douglas County, Minnesota",2137,311,64,135,129,194,112,147,87,98,209,89
"G2700430","2008-2012","MN",,,"Minnesota","27","Faribault County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27043",,,"Faribault County, Minnesota",43835,1283,62,86,169,182,116,75,75,98,262,158,"Faribault County, Minnesota",1891,134,33,36,52,66,44,31,39,55,87,37
"G2700450","2008-2012","MN",,,"Minnesota","27","Fillmore County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27045",,,"Fillmore County, Minnesota",48717,1792,56,223,262,193,141,182,50,138,318,229,"Fillmore County, Minnesota",1724,128,20,51,63,54,49,41,20,43,67,45
"G2700470","2008-2012","MN",,,"Minnesota","27","Freeborn County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27047",,,"Freeborn County, Minnesota",43962,3076,134,368,339,443,424,231,170,287,447,233,"Freeborn County, Minnesota",1988,215,50,120,106,106,104,80,67,111,117,80
"G2700490","2008-2012","MN",,,"Minnesota","27","Goodhue County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27049",,,"Goodhue County, Minnesota",55603,4246,88,282,391,569,614,515,209,377,877,324,"Goodhue County, Minnesota",1933,297,54,98,134,196,142,178,83,140,176,101
"G2700510","2008-2012","MN",,,"Minnesota","27","Grant County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27051",,,"Grant County, Minnesota",47333,567,53,48,76,82,53,56,18,40,86,55,"Grant County, Minnesota",2723,73,23,26,32,28,23,22,16,21,31,16
"G2700530","2008-2012","MN",,,"Minnesota","27","Hennepin County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27053",,,"Hennepin County, Minnesota",63559,171033,4715,13072,21730,22751,21092,16190,10700,13745,40708,6330,"Hennepin County, Minnesota",544,1772,453,734,954,1050,1043,781,909,778,1242,515
"G2700550","2008-2012","MN",,,"Minnesota","27","Houston County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27055",,,"Houston County, Minnesota",53453,1488,94,192,149,180,162,73,110,107,247,174,"Houston County, Minnesota",2123,142,34,89,69,68,54,32,59,48,86,44
"G2700570","2008-2012","MN",,,"Minnesota","27","Hubbard County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27057",,,"Hubbard County, Minnesota",45623,1537,58,89,192,153,124,82,163,116,254,306,"Hubbard County, Minnesota",1961,170,35,47,85,70,44,38,74,57,66,75
"G2700590","2008-2012","MN",,,"Minnesota","27","Isanti County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27059",,,"Isanti County, Minnesota",58775,2461,115,139,164,504,288,156,125,263,509,198,"Isanti County, Minnesota",2070,243,51,69,68,175,109,66,72,95,129,67
"G2700610","2008-2012","MN",,,"Minnesota","27","Itasca County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27061",,,"Itasca County, Minnesota",46180,3703,148,376,304,353,343,293,276,341,759,510,"Itasca County, Minnesota",1898,301,95,127,94,127,102,100,125,143,148,111
"G2700630","2008-2012","MN",,,"Minnesota","27","Jackson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27063",,,"Jackson County, Minnesota",49886,994,95,144,139,117,52,30,17,57,150,193,"Jackson County, Minnesota",2146,111,46,74,57,47,30,27,14,38,72,60
"G2700650","2008-2012","MN",,,"Minnesota","27","Kanabec County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27065",,,"Kanabec County, Minnesota",46323,1174,34,131,63,165,85,103,54,131,264,144,"Kanabec County, Minnesota",2008,145,25,71,35,58,36,49,30,68,85,58
"G2700670","2008-2012","MN",,,"Minnesota","27","Kandiyohi County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27067",,,"Kandiyohi County, Minnesota",50156,4580,204,461,387,483,415,378,268,571,973,440,"Kandiyohi County, Minnesota",1535,256,75,134,105,139,86,95,94,151,185,110
"G2700690","2008-2012","MN",,,"Minnesota","27","Kittson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27069",,,"Kittson County, Minnesota",49301,331,45,14,33,64,32,18,16,10,43,56,"Kittson County, Minnesota",2220,50,23,13,17,23,14,12,11,8,20,18
"G2700710","2008-2012","MN",,,"Minnesota","27","Koochiching County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27071",,,"Koochiching County, Minnesota",40167,1487,69,75,202,88,265,153,137,102,259,137,"Koochiching County, Minnesota",2428,189,64,38,73,56,118,69,110,56,119,57
"G2700730","2008-2012","MN",,,"Minnesota","27","Lac qui Parle County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27073",,,"Lac qui Parle County, Minnesota",50203,481,30,87,48,40,38,17,14,31,70,106,"Lac qui Parle County, Minnesota",2231,63,15,32,19,18,21,13,9,16,21,31
"G2700750","2008-2012","MN",,,"Minnesota","27","Lake County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27075",,,"Lake County, Minnesota",47210,954,47,34,99,131,79,88,25,74,203,174,"Lake County, Minnesota",5215,146,40,26,61,59,50,42,22,54,80,87
"G2700770","2008-2012","MN",,,"Minnesota","27","Lake of the Woods County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27077",,,"Lake of the Woods County, Minnesota",41979,181,10,10,17,12,21,6,5,26,30,44,"Lake of the Woods County, Minnesota",4318,53,15,16,14,15,16,7,7,23,20,30
"G2700790","2008-2012","MN",,,"Minnesota","27","Le Sueur County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27079",,,"Le Sueur County, Minnesota",57831,1916,88,215,224,118,267,192,181,176,271,184,"Le Sueur County, Minnesota",2514,178,50,90,73,48,73,83,68,79,76,42
"G2700810","2008-2012","MN",,,"Minnesota","27","Lincoln County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27081",,,"Lincoln County, Minnesota",47778,424,22,80,49,29,39,36,8,23,61,77,"Lincoln County, Minnesota",3003,57,10,33,17,20,13,16,6,11,22,22
"G2700830","2008-2012","MN",,,"Minnesota","27","Lyon County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27083",,,"Lyon County, Minnesota",47256,3324,201,297,495,425,297,204,106,184,845,270,"Lyon County, Minnesota",1636,211,101,103,152,113,87,101,63,77,181,126
"G2700850","2008-2012","MN",,,"Minnesota","27","McLeod County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27085",,,"McLeod County, Minnesota",55275,3491,172,325,565,529,280,318,151,164,730,257,"McLeod County, Minnesota",3516,280,85,78,169,171,101,117,83,69,157,104
"G2700870","2008-2012","MN",,,"Minnesota","27","Mahnomen County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27087",,,"Mahnomen County, Minnesota",39442,527,34,62,44,34,42,19,22,53,125,92,"Mahnomen County, Minnesota",2392,54,20,25,20,16,22,13,16,29,33,32
"G2700890","2008-2012","MN",,,"Minnesota","27","Marshall County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27089",,,"Marshall County, Minnesota",51000,727,44,102,79,95,79,56,37,32,66,137,"Marshall County, Minnesota",2221,73,29,38,32,44,28,21,22,14,23,27
"G2700910","2008-2012","MN",,,"Minnesota","27","Martin County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27091",,,"Martin County, Minnesota",46790,2171,107,264,249,264,140,111,119,199,519,199,"Martin County, Minnesota",2541,227,56,99,108,83,58,59,69,101,167,61
"G2700930","2008-2012","MN",,,"Minnesota","27","Meeker County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27093",,,"Meeker County, Minnesota",52705,1776,80,136,212,170,248,159,78,213,288,192,"Meeker County, Minnesota",1446,148,53,78,75,59,103,62,43,71,72,50
"G2700950","2008-2012","MN",,,"Minnesota","27","Mille Lacs County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27095",,,"Mille Lacs County, Minnesota",46363,2513,119,190,312,279,220,190,138,172,609,284,"Mille Lacs County, Minnesota",1597,211,73,79,101,93,63,58,60,63,149,84
"G2700970","2008-2012","MN",,,"Minnesota","27","Morrison County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27097",,,"Morrison County, Minnesota",47110,2723,119,217,385,295,277,173,269,199,462,327,"Morrison County, Minnesota",1569,206,73,89,124,106,87,60,105,67,116,62
"G2700990","2008-2012","MN",,,"Minnesota","27","Mower County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27099",,,"Mower County, Minnesota",46239,4288,142,342,513,321,435,395,108,269,1345,418,"Mower County, Minnesota",2170,283,62,120,179,99,127,147,43,100,214,128
"G2701010","2008-2012","MN",,,"Minnesota","27","Murray County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27101",,,"Murray County, Minnesota",50039,659,85,40,85,40,40,28,72,15,126,128,"Murray County, Minnesota",3173,86,45,24,48,15,22,19,46,10,42,32
"G2701030","2008-2012","MN",,,"Minnesota","27","Nicollet County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27103",,,"Nicollet County, Minnesota",59490,3073,135,414,451,405,296,167,102,283,679,141,"Nicollet County, Minnesota",3259,249,76,151,109,110,92,82,51,124,128,48
"G2701050","2008-2012","MN",,,"Minnesota","27","Nobles County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27105",,,"Nobles County, Minnesota",47539,2130,139,227,307,242,197,220,154,123,355,166,"Nobles County, Minnesota",2320,188,67,76,103,108,68,107,66,63,103,54
"G2701070","2008-2012","MN",,,"Minnesota","27","Norman County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27107",,,"Norman County, Minnesota",45000,541,24,29,91,67,38,37,27,46,73,109,"Norman County, Minnesota",2490,69,18,12,30,21,18,19,18,23,21,28
"G2701090","2008-2012","MN",,,"Minnesota","27","Olmsted County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27109",,,"Olmsted County, Minnesota",66667,14083,746,1479,1537,1696,1564,1154,972,1050,3100,785,"Olmsted County, Minnesota",1377,580,177,237,274,303,268,189,208,220,379,185
"G2701110","2008-2012","MN",,,"Minnesota","27","Otter Tail County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27111",,,"Otter Tail County, Minnesota",47579,5116,249,412,493,667,539,520,206,370,1033,627,"Otter Tail County, Minnesota",1287,265,87,100,110,146,117,140,70,127,130,117
"G2701130","2008-2012","MN",,,"Minnesota","27","Pennington County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27113",,,"Pennington County, Minnesota",47880,1436,88,217,94,167,159,167,53,186,175,130,"Pennington County, Minnesota",3301,174,59,88,53,73,56,69,42,91,67,51
"G2701150","2008-2012","MN",,,"Minnesota","27","Pine County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27115",,,"Pine County, Minnesota",44291,2335,79,222,290,264,267,199,113,243,329,329,"Pine County, Minnesota",1380,183,33,64,79,77,73,58,39,89,76,75
"G2701170","2008-2012","MN",,,"Minnesota","27","Pipestone County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27117",,,"Pipestone County, Minnesota",44817,1036,111,122,101,128,140,54,41,50,186,103,"Pipestone County, Minnesota",2531,131,50,57,46,63,63,41,28,40,54,31
"G2701190","2008-2012","MN",,,"Minnesota","27","Polk County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27119",,,"Polk County, Minnesota",49859,3520,178,321,486,303,342,364,186,285,786,269,"Polk County, Minnesota",2132,246,79,111,144,105,106,141,92,79,184,51
"G2701210","2008-2012","MN",,,"Minnesota","27","Pope County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27121",,,"Pope County, Minnesota",51148,964,78,103,169,145,95,54,35,64,113,108,"Pope County, Minnesota",1496,115,32,43,62,74,38,24,19,34,44,36
"G2701230","2008-2012","MN",,,"Minnesota","27","Ramsey County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27123",,,"Ramsey County, Minnesota",53152,81514,1858,6309,9105,10239,9572,7951,5411,7991,19917,3161,"Ramsey County, Minnesota",719,1232,338,537,640,742,711,628,539,666,978,343
"G2701250","2008-2012","MN",,,"Minnesota","27","Red Lake County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27125",,,"Red Lake County, Minnesota",48750,298,21,22,30,61,25,24,18,8,36,53,"Red Lake County, Minnesota",3065,45,14,14,15,33,16,15,15,7,17,17
"G2701270","2008-2012","MN",,,"Minnesota","27","Redwood County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27127",,,"Redwood County, Minnesota",46071,1515,72,188,69,123,206,80,97,69,312,299,"Redwood County, Minnesota",2228,151,32,75,28,46,80,43,48,33,84,66
"G2701290","2008-2012","MN",,,"Minnesota","27","Renville County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27129",,,"Renville County, Minnesota",49800,1348,68,140,166,169,81,97,69,54,248,256,"Renville County, Minnesota",1918,117,32,49,62,50,26,40,33,27,50,53
"G2701310","2008-2012","MN",,,"Minnesota","27","Rice County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27131",,,"Rice County, Minnesota",60438,5349,146,489,557,819,846,445,278,528,899,342,"Rice County, Minnesota",1609,424,76,190,141,174,206,159,134,202,177,158
"G2701330","2008-2012","MN",,,"Minnesota","27","Rock County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27133",,,"Rock County, Minnesota",45660,960,73,58,140,110,83,74,17,62,225,118,"Rock County, Minnesota",2961,102,35,35,70,53,31,34,12,36,61,47
"G2701350","2008-2012","MN",,,"Minnesota","27","Roseau County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27135",,,"Roseau County, Minnesota",50620,1427,109,138,175,236,159,94,56,95,201,164,"Roseau County, Minnesota",2694,137,52,54,62,67,75,45,33,46,51,43
"G2701370","2008-2012","MN",,,"Minnesota","27","St. Louis County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27137",,,"St. Louis County, Minnesota",46231,24637,759,1957,2623,2675,2379,2204,1557,2206,6683,1594,"St. Louis County, Minnesota",967,785,178,260,293,344,256,301,228,327,454,208
