GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G1800130","2013-2017","IN",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18013",,,"Brown County, Indiana",59292,989,31,65,133,110,69,64,63,41,255,158,"Brown County, Indiana",5009,203,29,58,81,63,45,44,57,33,106,68
"G1800150","2013-2017","IN",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18015",,,"Carroll County, Indiana",56188,1428,116,114,353,109,129,127,128,43,138,171,"Carroll County, Indiana",2345,184,51,49,108,53,60,56,62,30,67,65
"G1800170","2013-2017","IN",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18017",,,"Cass County, Indiana",45558,3884,343,465,303,493,298,244,292,319,707,420,"Cass County, Indiana",2327,326,132,138,106,148,93,86,102,127,159,116
"G1800190","2013-2017","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18019",,,"Clark County, Indiana",52834,12500,420,1345,1424,1963,1526,1140,661,1002,2236,783,"Clark County, Indiana",1041,660,140,220,255,299,242,210,185,244,343,158
"G1800210","2013-2017","IN",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18021",,,"Clay County, Indiana",50924,2487,179,274,230,240,248,136,195,104,547,334,"Clay County, Indiana",2157,264,110,92,78,106,108,68,124,82,140,101
"G1800230","2013-2017","IN",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18023",,,"Clinton County, Indiana",51659,3409,129,399,565,451,298,373,320,133,498,243,"Clinton County, Indiana",2997,310,62,122,174,107,107,136,117,68,112,87
"G1800250","2013-2017","IN",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18025",,,"Crawford County, Indiana",40067,673,14,38,50,77,75,41,26,72,116,164,"Crawford County, Indiana",3534,124,14,25,37,46,38,26,20,52,40,66
"G1800270","2013-2017","IN",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18027",,,"Daviess County, Indiana",48355,3004,120,238,330,389,461,183,120,230,554,379,"Daviess County, Indiana",2821,244,75,90,98,134,128,63,64,77,140,106
"G1800290","2013-2017","IN",,,"Indiana","18","Dearborn County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18029",,,"Dearborn County, Indiana",62905,3897,188,577,454,387,365,306,323,194,754,349,"Dearborn County, Indiana",2418,421,118,187,160,184,130,111,157,95,191,120
"G1800310","2013-2017","IN",,,"Indiana","18","Decatur County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18031",,,"Decatur County, Indiana",52270,3172,200,322,598,429,478,247,138,255,355,150,"Decatur County, Indiana",1808,307,112,118,155,142,154,105,90,116,127,68
"G1800330","2013-2017","IN",,,"Indiana","18","DeKalb County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18033",,,"DeKalb County, Indiana",51374,3828,60,297,882,520,469,291,286,233,474,316,"DeKalb County, Indiana",2180,385,48,94,212,205,146,120,128,127,150,120
