GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G2901290","2013-2017","MO",,,"Missouri","29","Mercer County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29129",,,"Mercer County, Missouri",43314,334,7,54,33,68,24,13,5,11,31,88,"Mercer County, Missouri",3418,57,8,27,20,31,15,10,7,10,18,31
"G2901310","2013-2017","MO",,,"Missouri","29","Miller County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29131",,,"Miller County, Missouri",41461,2398,30,250,181,416,259,237,198,185,325,317,"Miller County, Missouri",1751,321,24,81,96,181,127,131,109,104,135,125
"G2901330","2013-2017","MO",,,"Missouri","29","Mississippi County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29133",,,"Mississippi County, Missouri",32212,2022,45,161,231,161,229,88,260,82,400,365,"Mississippi County, Missouri",2610,231,32,91,105,95,91,52,121,56,143,131
"G2901350","2013-2017","MO",,,"Missouri","29","Moniteau County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29135",,,"Moniteau County, Missouri",50897,1248,52,205,227,100,103,97,58,141,114,151,"Moniteau County, Missouri",2130,172,38,95,98,64,55,55,35,88,46,56
"G2901370","2013-2017","MO",,,"Missouri","29","Monroe County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29137",,,"Monroe County, Missouri",42011,924,88,56,144,98,54,93,52,75,117,147,"Monroe County, Missouri",2100,126,50,22,59,39,29,47,33,44,46,69
"G2901390","2013-2017","MO",,,"Missouri","29","Montgomery County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29139",,,"Montgomery County, Missouri",43094,1349,42,132,235,158,142,66,54,50,270,200,"Montgomery County, Missouri",2442,170,31,55,77,53,52,36,25,26,81,72
"G2901410","2013-2017","MO",,,"Missouri","29","Morgan County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29141",,,"Morgan County, Missouri",34776,1915,165,237,220,69,257,125,125,81,391,245,"Morgan County, Missouri",2773,246,104,93,103,33,103,75,73,39,116,96
"G2901430","2013-2017","MO",,,"Missouri","29","New Madrid County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29143",,,"New Madrid County, Missouri",33846,2736,158,249,290,269,188,169,53,374,507,479,"New Madrid County, Missouri",2434,214,73,84,86,82,62,66,30,105,114,118
"G2901450","2013-2017","MO",,,"Missouri","29","Newton County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29145",,,"Newton County, Missouri",46723,6284,600,603,745,648,568,586,385,408,873,868,"Newton County, Missouri",1654,405,178,162,230,175,170,177,145,171,199,173
"G2901470","2013-2017","MO",,,"Missouri","29","Nodaway County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29147",,,"Nodaway County, Missouri",41370,3732,96,388,642,437,411,164,112,359,743,380,"Nodaway County, Missouri",1806,295,47,141,252,148,144,74,74,157,237,145
"G2901490","2013-2017","MO",,,"Missouri","29","Oregon County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29149",,,"Oregon County, Missouri",32070,994,41,30,76,28,77,110,80,113,233,206,"Oregon County, Missouri",3264,174,25,24,46,19,46,60,60,70,72,75
"G2901510","2013-2017","MO",,,"Missouri","29","Osage County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29151",,,"Osage County, Missouri",54503,891,45,54,188,142,80,67,37,48,93,137,"Osage County, Missouri",2743,134,31,30,61,44,37,42,34,29,40,48
"G2901530","2013-2017","MO",,,"Missouri","29","Ozark County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29153",,,"Ozark County, Missouri",32021,882,19,37,49,45,60,73,139,23,148,289,"Ozark County, Missouri",2319,146,15,23,29,27,41,47,74,16,57,99
"G2901550","2013-2017","MO",,,"Missouri","29","Pemiscot County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29155",,,"Pemiscot County, Missouri",32468,3244,155,263,285,371,367,188,167,267,641,540,"Pemiscot County, Missouri",2812,241,77,87,100,103,121,78,80,92,162,118
"G2901570","2013-2017","MO",,,"Missouri","29","Perry County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29157",,,"Perry County, Missouri",54935,1771,155,140,279,174,214,154,92,191,234,138,"Perry County, Missouri",2993,248,83,61,107,84,65,79,56,112,97,52
"G2901590","2013-2017","MO",,,"Missouri","29","Pettis County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29159",,,"Pettis County, Missouri",43097,5251,306,342,645,812,578,357,265,458,992,496,"Pettis County, Missouri",2031,330,104,95,148,180,154,135,80,123,179,127
"G2901610","2013-2017","MO",,,"Missouri","29","Phelps County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29161",,,"Phelps County, Missouri",41681,6783,251,625,888,512,774,480,362,468,1557,866,"Phelps County, Missouri",1892,499,104,217,234,139,205,172,151,189,284,234
"G2901630","2013-2017","MO",,,"Missouri","29","Pike County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29163",,,"Pike County, Missouri",45112,1937,116,229,226,336,173,151,44,87,271,304,"Pike County, Missouri",3523,217,68,103,98,110,72,78,37,47,89,103
"G2901650","2013-2017","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29165",,,"Platte County, Missouri",74199,13277,712,1448,2054,2050,1544,1080,670,1008,2161,550,"Platte County, Missouri",2190,576,198,286,304,392,266,256,207,238,350,183
"G2901670","2013-2017","MO",,,"Missouri","29","Polk County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29167",,,"Polk County, Missouri",44805,3911,15,561,617,386,282,298,229,471,729,323,"Polk County, Missouri",2581,320,15,172,189,191,104,140,125,194,184,118
"G2901690","2013-2017","MO",,,"Missouri","29","Pulaski County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29169",,,"Pulaski County, Missouri",51137,7971,122,1004,1670,859,800,528,443,416,1109,1020,"Pulaski County, Missouri",2137,733,77,254,452,226,227,166,212,134,275,215
"G2901710","2013-2017","MO",,,"Missouri","29","Putnam County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29171",,,"Putnam County, Missouri",37028,533,16,43,84,37,50,66,39,11,66,121,"Putnam County, Missouri",4041,108,18,27,39,27,38,35,34,14,39,55
"G2901730","2013-2017","MO",,,"Missouri","29","Ralls County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29173",,,"Ralls County, Missouri",50161,705,43,100,85,45,55,29,23,10,133,182,"Ralls County, Missouri",4015,145,33,49,48,28,33,23,25,11,67,84
"G2901750","2013-2017","MO",,,"Missouri","29","Randolph County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29175",,,"Randolph County, Missouri",44754,2050,70,285,202,175,210,122,91,200,548,147,"Randolph County, Missouri",3583,260,44,113,89,80,96,65,50,84,147,65
"G2901770","2013-2017","MO",,,"Missouri","29","Ray County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29177",,,"Ray County, Missouri",57270,1954,156,193,281,98,244,189,42,180,369,202,"Ray County, Missouri",3475,232,83,87,112,73,97,103,24,76,137,84
"G2901790","2013-2017","MO",,,"Missouri","29","Reynolds County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29179",,,"Reynolds County, Missouri",40265,566,37,49,57,61,52,53,11,18,117,111,"Reynolds County, Missouri",4918,108,29,29,40,42,32,33,13,14,44,46
"G2901810","2013-2017","MO",,,"Missouri","29","Ripley County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29181",,,"Ripley County, Missouri",33849,1254,81,76,150,144,61,103,67,153,194,225,"Ripley County, Missouri",4044,146,41,67,79,71,33,57,50,64,64,71
"G2901830","2013-2017","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29183",,,"St. Charles County, Missouri",78380,28281,1178,3098,4278,3746,3335,2623,1836,2107,4555,1525,"St. Charles County, Missouri",1216,997,288,509,400,421,362,329,269,345,529,250
"G2901850","2013-2017","MO",,,"Missouri","29","St. Clair County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29185",,,"St. Clair County, Missouri",35066,1024,54,46,154,102,136,95,48,18,119,252,"St. Clair County, Missouri",2556,147,26,27,51,42,61,58,42,13,47,90
"G2901860","2013-2017","MO",,,"Missouri","29","Ste. Genevieve County","186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29186",,,"Ste. Genevieve County, Missouri",50959,1641,112,89,125,212,246,154,26,191,301,185,"Ste. Genevieve County, Missouri",3492,298,86,67,89,92,112,118,31,126,188,86
"G2901870","2013-2017","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29187",,,"St. Francois County, Missouri",42873,7740,392,748,1098,799,830,654,347,620,1615,637,"St. Francois County, Missouri",2064,603,165,223,250,231,219,208,145,202,339,179
"G2901890","2013-2017","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29189",,,"St. Louis County, Missouri",62931,122540,4722,11392,15464,15501,13992,10113,7747,9997,26338,7274,"St. Louis County, Missouri",854,1799,491,713,967,848,925,798,581,902,1081,592
"G2901950","2013-2017","MO",,,"Missouri","29","Saline County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29195",,,"Saline County, Missouri",41567,2748,141,289,311,355,239,267,184,232,448,282,"Saline County, Missouri",2050,244,58,85,88,98,82,90,84,96,128,90
"G2901970","2013-2017","MO",,,"Missouri","29","Schuyler County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29197",,,"Schuyler County, Missouri",38848,461,30,61,58,33,61,21,25,3,80,89,"Schuyler County, Missouri",2968,56,15,24,28,21,24,16,14,4,28,42
"G2901990","2013-2017","MO",,,"Missouri","29","Scotland County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29199",,,"Scotland County, Missouri",42939,534,130,44,39,78,42,21,28,9,93,50,"Scotland County, Missouri",4351,89,70,28,28,36,27,24,25,11,46,29
"G2902010","2013-2017","MO",,,"Missouri","29","Scott County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29201",,,"Scott County, Missouri",41628,4744,223,399,746,473,615,321,102,352,960,553,"Scott County, Missouri",1816,339,88,118,158,155,159,107,48,130,214,186
"G2902030","2013-2017","MO",,,"Missouri","29","Shannon County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29203",,,"Shannon County, Missouri",31202,894,34,24,61,108,131,39,24,41,115,317,"Shannon County, Missouri",2664,144,22,21,40,49,60,23,22,26,41,94
"G2902050","2013-2017","MO",,,"Missouri","29","Shelby County","205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29205",,,"Shelby County, Missouri",42593,640,42,87,115,33,38,37,26,30,25,207,"Shelby County, Missouri",3741,98,26,34,53,18,17,19,17,19,14,55
"G2902070","2013-2017","MO",,,"Missouri","29","Stoddard County","207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29207",,,"Stoddard County, Missouri",40076,3615,132,432,515,330,280,455,264,239,466,502,"Stoddard County, Missouri",2013,355,59,141,148,115,90,157,97,90,120,137
"G2902090","2013-2017","MO",,,"Missouri","29","Stone County","209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29209",,,"Stone County, Missouri",43292,2578,45,262,326,193,264,297,58,264,514,355,"Stone County, Missouri",1667,327,29,86,110,64,118,125,29,115,151,128
"G2902110","2013-2017","MO",,,"Missouri","29","Sullivan County","211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29211",,,"Sullivan County, Missouri",42034,597,72,94,109,36,21,31,26,35,93,80,"Sullivan County, Missouri",5319,80,32,36,50,19,16,19,18,26,40,25
"G2902130","2013-2017","MO",,,"Missouri","29","Taney County","213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29213",,,"Taney County, Missouri",39661,8965,133,624,1425,1298,1013,629,756,683,1666,738,"Taney County, Missouri",1576,482,88,220,311,282,247,178,255,159,320,232
"G2902150","2013-2017","MO",,,"Missouri","29","Texas County","215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29215",,,"Texas County, Missouri",35571,2412,34,166,222,241,257,95,135,240,571,451,"Texas County, Missouri",3091,293,27,59,83,79,92,51,80,101,135,155
"G2902170","2013-2017","MO",,,"Missouri","29","Vernon County","217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29217",,,"Vernon County, Missouri",41479,2590,167,218,307,355,180,194,158,125,583,303,"Vernon County, Missouri",2061,303,102,97,106,127,70,84,114,62,170,89
"G2902190","2013-2017","MO",,,"Missouri","29","Warren County","219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29219",,,"Warren County, Missouri",56193,2437,135,253,151,186,366,273,45,283,562,183,"Warren County, Missouri",3733,321,119,127,78,108,147,125,35,144,177,85
"G2902210","2013-2017","MO",,,"Missouri","29","Washington County","221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29221",,,"Washington County, Missouri",37810,1640,183,135,101,165,177,88,69,73,340,309,"Washington County, Missouri",2171,259,90,62,55,68,66,53,53,40,140,119
"G2902230","2013-2017","MO",,,"Missouri","29","Wayne County","223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29223",,,"Wayne County, Missouri",35135,1278,22,129,105,183,133,105,16,107,276,202,"Wayne County, Missouri",3160,191,19,65,55,73,83,48,15,55,96,76
"G2902250","2013-2017","MO",,,"Missouri","29","Webster County","225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29225",,,"Webster County, Missouri",45185,3627,137,494,530,324,414,377,131,318,547,355,"Webster County, Missouri",2225,308,64,134,160,96,128,114,59,103,138,104
"G2902270","2013-2017","MO",,,"Missouri","29","Worth County","227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29227",,,"Worth County, Missouri",48214,217,17,17,42,14,10,11,5,22,17,62,"Worth County, Missouri",3659,49,18,15,20,15,8,12,6,20,15,28
"G2902290","2013-2017","MO",,,"Missouri","29","Wright County","229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29229",,,"Wright County, Missouri",31290,2377,138,174,345,150,290,167,169,139,423,382,"Wright County, Missouri",2644,230,68,71,147,70,149,87,108,69,168,122
"G2905100","2013-2017","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29510",,,"St. Louis city, Missouri",38664,78891,3086,6481,9676,8613,8038,5878,4513,6709,20871,5026,"St. Louis city, Missouri",799,1346,373,538,692,722,643,508,508,599,854,488
"G3000010","2013-2017","MT",,,"Montana","30","Beaverhead County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30001",,,"Beaverhead County, Montana",43880,1355,116,97,27,158,110,127,81,88,316,235,"Beaverhead County, Montana",5838,172,75,62,23,76,64,61,49,57,93,61
"G3000030","2013-2017","MT",,,"Montana","30","Big Horn County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30003",,,"Big Horn County, Montana",47276,1437,187,160,162,134,137,132,87,58,135,245,"Big Horn County, Montana",4170,152,62,60,69,61,75,67,46,37,61,64
"G3000050","2013-2017","MT",,,"Montana","30","Blaine County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30005",,,"Blaine County, Montana",35506,948,133,99,129,76,71,47,50,54,97,192,"Blaine County, Montana",2516,103,38,35,44,26,36,20,24,32,39,45
"G3000070","2013-2017","MT",,,"Montana","30","Broadwater County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30007",,,"Broadwater County, Montana",55295,385,6,94,22,52,15,45,5,32,47,67,"Broadwater County, Montana",4990,80,10,51,28,44,12,33,8,38,38,53
"G3000090","2013-2017","MT",,,"Montana","30","Carbon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30009",,,"Carbon County, Montana",56988,957,92,97,100,109,90,80,75,47,154,113,"Carbon County, Montana",4501,110,38,42,47,47,34,45,44,36,61,43
"G3000110","2013-2017","MT",,,"Montana","30","Carter County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30011",,,"Carter County, Montana",45347,96,3,9,4,4,9,2,0,2,9,54,"Carter County, Montana",7344,21,4,11,5,5,11,3,10,3,8,17
"G3000130","2013-2017","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30013",,,"Cascade County, Montana",46827,11824,476,961,1452,1790,1303,991,829,1049,2081,892,"Cascade County, Montana",1361,541,150,188,255,272,257,197,179,231,284,178
"G3000150","2013-2017","MT",,,"Montana","30","Chouteau County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30015",,,"Chouteau County, Montana",39577,858,140,92,123,80,52,20,31,31,46,243,"Chouteau County, Montana",2805,96,35,32,47,33,26,12,16,18,17,49
"G3000170","2013-2017","MT",,,"Montana","30","Custer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30017",,,"Custer County, Montana",53050,1449,96,164,154,206,158,64,95,118,182,212,"Custer County, Montana",8518,198,74,63,65,76,85,41,104,61,84,84
"G3000190","2013-2017","MT",,,"Montana","30","Daniels County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30019",,,"Daniels County, Montana",53591,203,16,5,72,6,3,14,0,23,38,26,"Daniels County, Montana",3318,56,16,7,47,9,5,23,10,29,33,21
"G3000210","2013-2017","MT",,,"Montana","30","Dawson County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30021",,,"Dawson County, Montana",59622,1237,95,121,369,132,107,0,43,105,153,112,"Dawson County, Montana",4284,185,67,75,158,96,99,14,31,88,105,49
"G3000230","2013-2017","MT",,,"Montana","30","Deer Lodge County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30023",,,"Deer Lodge County, Montana",41235,1193,104,80,136,157,160,82,23,74,259,118,"Deer Lodge County, Montana",2892,248,70,57,104,93,130,73,37,41,138,70
"G3000250","2013-2017","MT",,,"Montana","30","Fallon County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30025",,,"Fallon County, Montana",56806,401,55,13,69,30,36,2,8,0,32,156,"Fallon County, Montana",11052,79,40,12,51,19,31,3,13,10,31,50
"G3000270","2013-2017","MT",,,"Montana","30","Fergus County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30027",,,"Fergus County, Montana",47110,1487,119,211,199,167,141,6,84,21,272,267,"Fergus County, Montana",4545,252,79,116,129,78,76,5,69,23,115,125
"G3000290","2013-2017","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30029",,,"Flathead County, Montana",51410,10656,606,1010,1002,1305,1393,682,785,735,2205,933,"Flathead County, Montana",1582,699,178,203,272,303,286,185,235,219,314,228
"G3000310","2013-2017","MT",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30031",,,"Gallatin County, Montana",59397,15634,515,1056,1922,2076,1483,1619,1136,1212,3877,738,"Gallatin County, Montana",1808,523,128,208,323,311,265,330,257,239,458,144
"G3000330","2013-2017","MT",,,"Montana","30","Garfield County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30033",,,"Garfield County, Montana",47188,86,16,2,4,7,0,4,0,0,9,44,"Garfield County, Montana",9425,25,13,4,6,8,10,6,10,10,9,16
"G3000350","2013-2017","MT",,,"Montana","30","Glacier County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30035",,,"Glacier County, Montana",29201,1713,109,250,166,201,150,97,120,122,299,199,"Glacier County, Montana",3223,140,46,79,65,64,69,65,65,49,90,70
"G3000370","2013-2017","MT",,,"Montana","30","Golden Valley County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30037",,,"Golden Valley County, Montana",43854,91,2,18,9,2,0,0,2,2,21,35,"Golden Valley County, Montana",4187,32,4,11,10,5,10,10,3,3,14,19
"G3000390","2013-2017","MT",,,"Montana","30","Granite County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30039",,,"Granite County, Montana",49063,361,10,68,65,10,31,9,19,21,28,100,"Granite County, Montana",6908,81,11,35,31,9,22,10,17,28,22,44
"G3000410","2013-2017","MT",,,"Montana","30","Hill County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30041",,,"Hill County, Montana",45269,2336,169,280,283,207,264,102,196,208,416,211,"Hill County, Montana",2174,244,50,92,120,68,110,57,92,104,126,55
"G3000430","2013-2017","MT",,,"Montana","30","Jefferson County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30043",,,"Jefferson County, Montana",64911,672,50,89,80,72,67,39,17,23,87,148,"Jefferson County, Montana",3742,118,37,43,51,43,39,30,21,25,53,62
"G3000450","2013-2017","MT",,,"Montana","30","Judith Basin County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30045",,,"Judith Basin County, Montana",43281,263,5,41,19,23,15,4,7,6,13,130,"Judith Basin County, Montana",9382,53,7,22,14,19,13,6,7,6,10,37
"G3000470","2013-2017","MT",,,"Montana","30","Lake County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30047",,,"Lake County, Montana",42582,3330,254,413,430,400,380,161,126,219,473,474,"Lake County, Montana",2370,257,82,98,112,113,121,50,55,76,131,99
"G3000490","2013-2017","MT",,,"Montana","30","Lewis and Clark County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30049",,,"Lewis and Clark County, Montana",60789,8609,556,705,1063,1187,1088,863,410,676,1464,597,"Lewis and Clark County, Montana",2019,504,172,199,229,260,221,190,165,150,205,153
"G3000510","2013-2017","MT",,,"Montana","30","Liberty County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30051",,,"Liberty County, Montana",46641,334,22,19,20,17,7,17,0,11,35,186,"Liberty County, Montana",7890,61,15,18,17,16,10,18,10,11,22,52
"G3000530","2013-2017","MT",,,"Montana","30","Lincoln County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30053",,,"Lincoln County, Montana",36934,1694,52,107,176,150,257,165,115,91,377,204,"Lincoln County, Montana",2050,204,44,70,86,72,90,85,57,63,109,80
"G3000550","2013-2017","MT",,,"Montana","30","McCone County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30055",,,"McCone County, Montana",46193,139,17,4,24,8,0,5,0,2,0,79,"McCone County, Montana",3425,38,16,5,22,13,10,8,10,4,10,30
"G3000570","2013-2017","MT",,,"Montana","30","Madison County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30057",,,"Madison County, Montana",47900,804,43,120,37,53,66,38,42,25,107,273,"Madison County, Montana",3493,144,22,62,21,25,40,27,36,20,58,81
"G3000590","2013-2017","MT",,,"Montana","30","Meagher County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30059",,,"Meagher County, Montana",41343,230,14,21,16,3,37,9,0,8,32,90,"Meagher County, Montana",4810,64,18,19,16,4,30,14,10,11,26,35
"G3000610","2013-2017","MT",,,"Montana","30","Mineral County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30061",,,"Mineral County, Montana",40117,496,39,66,52,30,30,92,8,19,87,73,"Mineral County, Montana",4458,97,26,42,33,21,26,48,14,14,50,38
"G3000630","2013-2017","MT",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30063",,,"Missoula County, Montana",49412,19729,588,1489,2086,2418,2331,1507,1010,1860,5341,1099,"Missoula County, Montana",1947,730,252,328,326,447,348,358,301,296,492,227
"G3000650","2013-2017","MT",,,"Montana","30","Musselshell County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30065",,,"Musselshell County, Montana",38156,620,17,42,23,46,42,48,43,39,119,201,"Musselshell County, Montana",6209,110,19,40,28,31,30,22,32,38,51,66
"G3000670","2013-2017","MT",,,"Montana","30","Park County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30067",,,"Park County, Montana",44920,2197,95,195,309,201,258,216,57,204,368,294,"Park County, Montana",2700,253,73,91,115,82,130,100,48,117,156,108
"G3000690","2013-2017","MT",,,"Montana","30","Petroleum County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30069",,,"Petroleum County, Montana",46429,72,0,3,5,0,1,2,0,5,2,54,"Petroleum County, Montana",12226,23,10,4,6,10,2,3,10,6,4,19
"G3000710","2013-2017","MT",,,"Montana","30","Phillips County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30071",,,"Phillips County, Montana",42101,516,78,37,51,24,44,2,17,47,18,198,"Phillips County, Montana",6369,122,42,21,32,35,40,4,22,36,20,83
"G3000730","2013-2017","MT",,,"Montana","30","Pondera County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30073",,,"Pondera County, Montana",44597,615,35,52,48,55,31,23,42,26,80,223,"Pondera County, Montana",3730,90,20,23,25,26,19,19,23,14,34,70
"G3000750","2013-2017","MT",,,"Montana","30","Powder River County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30075",,,"Powder River County, Montana",51136,276,7,6,15,25,7,0,3,5,15,193,"Powder River County, Montana",7216,56,7,9,10,14,9,10,4,8,15,47
"G3000770","2013-2017","MT",,,"Montana","30","Powell County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30077",,,"Powell County, Montana",44352,739,26,86,129,115,48,71,22,34,82,126,"Powell County, Montana",4574,141,22,62,50,61,41,48,20,32,50,58
"G3000790","2013-2017","MT",,,"Montana","30","Prairie County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30079",,,"Prairie County, Montana",50850,62,8,0,0,4,0,10,13,2,0,25,"Prairie County, Montana",6481,26,14,10,10,5,10,13,19,4,10,17
"G3000810","2013-2017","MT",,,"Montana","30","Ravalli County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30081",,,"Ravalli County, Montana",44733,4404,202,263,450,495,652,347,305,380,947,363,"Ravalli County, Montana",3625,406,104,97,149,132,176,146,109,149,183,133
"G3000830","2013-2017","MT",,,"Montana","30","Richland County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US30083",,,"Richland County, Montana",66572,1691,184,160,334,177,98,92,100,93,196,257,"Richland County, Montana",3801,200,84,73,107,77,73,58,76,62,82,83
